sample_id,timestamp_utc,elapsed_ms,gps_valid,gps_updated,gps_fix_type,satellites,latitude_deg,longitude_deg,gps_altitude_m,speed_mps,course_deg,hdop,pdop,vdop,bme_valid,temperature_c,humidity_pct,pressure_hpa,pressure_altitude_m,mag_valid,mag_x_ut,mag_y_ut,mag_z_ut,mag_strength_ut,heading_deg,imu_valid,accel_x_mps2,accel_y_mps2,accel_z_mps2,gyro_x_dps,gyro_y_dps,gyro_z_dps,pitch_deg,roll_deg
46,2026-09-09T22:15:46.000Z,46000,1,1,3,11,43.823461,-111.792143,1484.11,1.717,30.00,0.98,1.52,1.12,1,23.20,41.64,848.59,1464.26,1,-11.02,6.73,27.09,30.01,28.16,1,-0.193,9.469,-1.166,-0.152,-0.025,0.157,-0.97,2.78
47,2026-09-09T22:15:47.000Z,47000,1,1,3,11,43.823468,-111.792138,1484.16,1.700,30.26,0.99,1.52,1.12,1,23.21,41.64,848.59,1464.33,1,-11.14,6.68,27.07,30.02,28.52,1,-0.160,9.452,-1.150,-0.119,-0.003,0.139,-0.98,2.73
48,2026-09-09T22:15:48.000Z,48000,1,1,3,11,43.823476,-111.792133,1484.21,1.682,30.51,0.99,1.53,1.11,1,23.22,41.64,848.59,1464.39,1,-11.27,6.63,27.04,30.04,28.89,1,-0.118,9.435,-1.135,-0.084,0.019,0.116,-1.00,2.68
49,2026-09-09T22:15:49.000Z,49000,1,1,3,11,43.823483,-111.792128,1484.25,1.665,30.76,0.99,1.53,1.11,1,23.23,41.64,848.58,1464.45,1,-11.40,6.58,27.02,30.05,29.27,1,-0.068,9.419,-1.121,-0.047,0.041,0.089,-1.02,2.63
50,2026-09-09T22:15:50.000Z,50000,1,1,3,11,43.823490,-111.792123,1484.29,1.648,30.99,0.99,1.53,1.10,1,23.24,41.64,848.58,1464.50,1,-11.54,6.55,26.99,30.07,29.66,1,-0.015,9.404,-1.109,-0.010,0.062,0.059,-1.04,2.59
51,2026-09-09T22:15:51.000Z,51000,1,1,3,11,43.823498,-111.792118,1484.34,1.633,31.22,0.99,1.53,1.10,1,23.25,41.64,848.57,1464.56,1,-11.68,6.53,26.96,30.09,30.06,1,0.040,9.390,-1.099,0.028,0.083,0.027,-1.06,2.54
52,2026-09-09T22:15:52.000Z,52000,1,1,3,11,43.823505,-111.792113,1484.38,1.620,31.44,0.99,1.54,1.10,1,23.25,41.64,848.57,1464.62,1,-11.82,6.51,26.93,30.12,30.47,1,0.092,9.377,-1.091,0.065,0.103,-0.005,-1.09,2.49
53,2026-09-09T22:15:53.000Z,53000,1,1,3,11,43.823512,-111.792108,1484.42,1.608,31.65,0.99,1.54,1.09,1,23.26,41.64,848.56,1464.68,1,-11.97,6.50,26.89,30.14,30.88,1,0.139,9.367,-1.085,0.101,0.122,-0.038,-1.12,2.44
54,2026-09-09T22:15:54.000Z,54000,1,1,3,11,43.823520,-111.792103,1484.46,1.599,31.85,1.00,1.54,1.09,1,23.27,41.63,848.55,1464.73,1,-12.11,6.50,26.86,30.17,31.29,1,0.177,9.359,-1.081,0.135,0.140,-0.069,-1.14,2.40
55,2026-09-09T22:15:55.000Z,55000,1,1,3,11,43.823527,-111.792098,1484.49,1.593,32.04,1.00,1.54,1.08,1,23.28,41.63,848.55,1464.79,1,-12.27,6.51,26.82,30.20,31.70,1,0.204,9.353,-1.080,0.167,0.156,-0.098,-1.17,2.35
56,2026-09-09T22:15:56.000Z,56000,1,1,3,11,43.823534,-111.792094,1484.53,1.590,32.23,1.00,1.54,1.08,1,23.28,41.63,848.54,1464.85,1,-12.42,6.53,26.78,30.23,32.11,1,0.218,9.350,-1.081,0.197,0.171,-0.124,-1.20,2.31
57,2026-09-09T22:15:57.000Z,57000,1,1,3,11,43.823541,-111.792089,1484.57,1.589,32.40,1.00,1.54,1.07,1,23.29,41.63,848.54,1464.90,1,-12.58,6.56,26.74,30.27,32.50,1,0.219,9.350,-1.085,0.224,0.184,-0.145,-1.24,2.26
58,2026-09-09T22:15:58.000Z,58000,1,1,3,11,43.823549,-111.792084,1484.60,1.591,32.57,1.00,1.55,1.07,1,23.30,41.62,848.53,1464.95,1,-12.73,6.59,26.70,30.30,32.89,1,0.206,9.353,-1.091,0.247,0.195,-0.162,-1.27,2.22
59,2026-09-09T22:15:59.000Z,59000,1,1,3,11,43.823556,-111.792080,1484.63,1.595,32.73,1.00,1.55,1.07,1,23.30,41.62,848.53,1465.01,1,-12.89,6.63,26.65,30.34,33.27,1,0.180,9.358,-1.099,0.266,0.204,-0.174,-1.31,2.17
60,2026-09-09T22:16:00.000Z,60000,1,1,3,11,43.823563,-111.792075,1484.66,1.601,32.88,1.00,1.55,1.06,1,23.31,41.62,848.52,1465.06,1,-13.05,6.69,26.61,30.38,33.63,1,0.143,9.366,-1.110,0.281,0.211,-0.179,-1.34,2.13
61,2026-09-09T22:16:01.000Z,61000,1,1,3,11,43.823570,-111.792070,1484.69,1.609,33.02,1.00,1.55,1.06,1,23.32,41.61,848.51,1465.11,1,-13.21,6.75,26.56,30.42,33.97,1,0.097,9.376,-1.122,0.292,0.216,-0.179,-1.38,2.09
62,2026-09-09T22:16:02.000Z,62000,1,1,3,11,43.823577,-111.792066,1484.72,1.617,33.15,1.00,1.55,1.05,1,23.32,41.61,848.51,1465.16,1,-13.36,6.81,26.52,30.47,34.29,1,0.045,9.389,-1.135,0.298,0.219,-0.173,-1.42,2.05
63,2026-09-09T22:16:03.000Z,63000,1,1,3,11,43.823584,-111.792061,1484.75,1.625,33.27,1.00,1.55,1.05,1,23.33,41.61,848.50,1465.21,1,-13.52,6.89,26.47,30.51,34.58,1,-0.009,9.402,-1.151,0.300,0.220,-0.161,-1.46,2.01
64,2026-09-09T22:16:04.000Z,64000,1,1,3,11,43.823591,-111.792057,1484.77,1.633,33.38,1.00,1.55,1.04,1,23.33,41.60,848.49,1465.26,1,-13.67,6.97,26.42,30.56,34.86,1,-0.063,9.418,-1.167,0.297,0.219,-0.144,-1.50,1.97
65,2026-09-09T22:16:05.000Z,65000,1,1,3,11,43.823598,-111.792053,1484.80,1.640,33.49,1.00,1.55,1.04,1,23.34,41.60,848.49,1465.31,1,-13.83,7.06,26.37,30.60,35.10,1,-0.113,9.434,-1.183,0.289,0.215,-0.122,-1.54,1.93
66,2026-09-09T22:16:06.000Z,66000,1,1,3,11,43.823605,-111.792048,1484.82,1.645,33.58,1.00,1.55,1.03,1,23.34,41.59,848.48,1465.36,1,-13.98,7.16,26.32,30.65,35.31,1,-0.157,9.450,-1.200,0.277,0.209,-0.097,-1.58,1.89
67,2026-09-09T22:16:07.000Z,67000,1,1,3,11,43.823612,-111.792044,1484.84,1.647,33.66,1.00,1.55,1.03,1,23.35,41.59,848.47,1465.41,1,-14.13,7.26,26.27,30.70,35.50,1,-0.190,9.467,-1.218,0.260,0.201,-0.068,-1.62,1.86
68,2026-09-09T22:16:08.000Z,68000,1,1,3,11,43.823619,-111.792040,1484.86,1.648,33.74,1.00,1.55,1.03,1,23.35,41.58,848.47,1465.46,1,-14.27,7.37,26.22,30.75,35.65,1,-0.212,9.483,-1.234,0.240,0.191,-0.036,-1.67,1.82
69,2026-09-09T22:16:09.000Z,69000,1,1,3,11,43.823626,-111.792035,1484.88,1.645,33.80,1.00,1.55,1.02,1,23.35,41.58,848.46,1465.50,1,-14.41,7.48,26.17,30.80,35.77,1,-0.220,9.498,-1.250,0.215,0.179,-0.004,-1.71,1.79
70,2026-09-09T22:16:10.000Z,70000,1,1,3,11,43.823633,-111.792031,1484.90,1.639,33.86,1.00,1.55,1.02,1,23.36,41.57,848.45,1465.55,1,-14.55,7.60,26.12,30.85,35.86,1,-0.215,9.512,-1.265,0.187,0.166,0.029,-1.75,1.75
71,2026-09-09T22:16:11.000Z,71000,1,1,3,11,43.823639,-111.792027,1484.91,1.629,33.91,1.00,1.55,1.03,1,23.36,41.56,848.44,1465.59,1,-14.68,7.72,26.07,30.90,35.91,1,-0.196,9.524,-1.279,0.157,0.151,0.060,-1.80,1.72
72,2026-09-09T22:16:12.000Z,72000,1,1,3,11,43.823646,-111.792023,1484.93,1.616,33.94,1.00,1.55,1.03,1,23.36,41.56,848.44,1465.64,1,-14.81,7.85,26.01,30.95,35.92,1,-0.165,9.534,-1.291,0.124,0.134,0.090,-1.84,1.69
73,2026-09-09T22:16:13.000Z,73000,1,1,3,11,43.823653,-111.792019,1484.94,1.600,33.97,0.99,1.55,1.04,1,23.37,41.55,848.43,1465.68,1,-14.93,7.98,25.96,31.00,35.91,1,-0.124,9.542,-1.301,0.089,0.116,0.117,-1.89,1.66
74,2026-09-09T22:16:14.000Z,74000,1,1,3,11,43.823660,-111.792015,1484.95,1.580,33.99,0.99,1.55,1.04,1,23.37,41.54,848.42,1465.73,1,-15.05,8.12,25.91,31.04,35.86,1,-0.075,9.547,-1.309,0.052,0.096,0.140,-1.94,1.64
75,2026-09-09T22:16:15.000Z,75000,1,1,3,11,43.823666,-111.792011,1484.96,1.558,34.00,0.99,1.54,1.05,1,23.37,41.54,848.41,1465.77,1,-15.16,8.26,25.86,31.09,35.77,1,-0.022,9.550,-1.315,0.015,0.076,0.158,-1.98,1.61
76,2026-09-09T22:16:16.000Z,76000,1,1,3,11,43.823673,-111.792007,1484.97,1.534,34.00,0.99,1.54,1.05,1,23.37,41.53,848.40,1465.81,1,-15.27,8.40,25.81,31.14,35.66,1,0.033,9.549,-1.319,-0.023,0.055,0.171,-2.03,1.59
77,2026-09-09T22:16:17.000Z,77000,1,1,3,11,43.823680,-111.792003,1484.98,1.508,33.99,0.99,1.54,1.06,1,23.38,41.52,848.40,1465.85,1,-15.37,8.55,25.75,31.19,35.52,1,0.086,9.546,-1.320,-0.060,0.034,0.178,-2.07,1.56
78,2026-09-09T22:16:18.000Z,78000,1,1,3,11,43.823686,-111.791999,1484.99,1.481,33.97,0.99,1.54,1.06,1,23.38,41.51,848.39,1465.89,1,-15.46,8.69,25.70,31.23,35.34,1,0.133,9.541,-1.319,-0.096,0.012,0.180,-2.12,1.54
79,2026-09-09T22:16:19.000Z,79000,1,1,3,11,43.823693,-111.791995,1484.99,1.453,33.94,0.99,1.54,1.06,1,23.38,41.51,848.38,1465.93,1,-15.55,8.84,25.65,31.27,35.14,1,0.172,9.533,-1.315,-0.131,-0.010,0.175,-2.16,1.52
80,2026-09-09T22:16:20.000Z,80000,1,1,3,11,43.823699,-111.791992,1485.00,1.425,33.90,0.98,1.54,1.07,1,23.38,41.50,848.37,1465.97,1,-15.63,8.98,25.60,31.31,34.92,1,0.201,9.522,-1.309,-0.163,-0.032,0.165,-2.21,1.50
81,2026-09-09T22:16:21.000Z,81000,1,1,3,11,43.823706,-111.791988,1485.00,1.398,33.85,0.98,1.53,1.07,1,23.38,41.49,848.36,1466.01,1,-15.70,9.13,25.55,31.35,34.67,1,0.217,9.509,-1.301,-0.193,-0.054,0.150,-2.25,1.48
82,2026-09-09T22:16:22.000Z,82000,1,1,3,10,43.823712,-111.791984,1485.00,1.373,33.79,0.98,1.53,1.08,1,23.38,41.48,848.35,1466.05,1,-15.77,9.28,25.51,31.39,34.41,1,0.219,9.495,-1.290,-0.220,-0.075,0.129,-2.30,1.47
83,2026-09-09T22:16:23.000Z,83000,1,1,3,10,43.823719,-111.791981,1485.00,1.349,33.72,0.98,1.53,1.08,1,23.38,41.47,848.34,1466.08,1,-15.82,9.42,25.46,31.42,34.13,1,0.208,9.480,-1.278,-0.244,-0.095,0.104,-2.34,1.45
84,2026-09-09T22:16:24.000Z,84000,1,1,3,10,43.823725,-111.791977,1485.00,1.328,33.65,0.98,1.53,1.09,1,23.38,41.46,848.33,1466.12,1,-15.87,9.57,25.41,31.45,33.83,1,0.184,9.464,-1.264,-0.264,-0.114,0.076,-2.39,1.44
85,2026-09-09T22:16:25.000Z,85000,1,1,3,10,43.823732,-111.791974,1485.00,1.310,33.56,0.97,1.52,1.09,1,23.39,41.45,848.32,1466.15,1,-15.91,9.71,25.37,31.48,33.52,1,0.149,9.447,-1.249,-0.280,-0.132,0.045,-2.43,1.43
86,2026-09-09T22:16:26.000Z,86000,1,1,3,10,43.823738,-111.791970,1484.99,1.295,33.47,0.97,1.52,1.09,1,23.39,41.44,848.32,1466.19,1,-15.95,9.85,25.32,31.51,33.20,1,0.104,9.431,-1.233,-0.291,-0.149,0.013,-2.47,1.42
87,2026-09-09T22:16:27.000Z,87000,1,1,3,10,43.823744,-111.791967,1484.99,1.283,33.36,0.97,1.52,1.10,1,23.39,41.43,848.31,1466.22,1,-15.97,9.99,25.28,31.53,32.88,1,0.053,9.415,-1.216,-0.298,-0.165,-0.020,-2.51,1.41
88,2026-09-09T22:16:28.000Z,88000,1,1,3,10,43.823751,-111.791963,1484.98,1.274,33.25,0.97,1.52,1.10,1,23.39,41.42,848.30,1466.26,1,-15.99,10.12,25.24,31.55,32.55,1,-0.002,9.399,-1.199,-0.300,-0.178,-0.052,-2.55,1.41
89,2026-09-09T22:16:29.000Z,89000,1,1,3,10,43.823757,-111.791960,1484.98,1.268,33.12,0.96,1.51,1.11,1,23.38,41.41,848.29,1466.29,1,-16.00,10.25,25.20,31.56,32.23,1,-0.056,9.386,-1.182,-0.297,-0.190,-0.082,-2.59,1.40
90,2026-09-09T22:16:30.000Z,90000,1,1,3,10,43.823763,-111.791957,1484.97,1.265,32.99,0.96,1.51,1.11,1,23.38,41.40,848.28,1466.32,1,-16.00,10.37,25.16,31.57,31.90,1,-0.107,9.374,-1.166,-0.290,-0.200,-0.110,-2.63,1.40
91,2026-09-09T22:16:31.000Z,91000,1,1,3,10,43.823769,-111.791953,1484.96,1.264,32.85,0.96,1.51,1.12,1,23.38,41.38,848.27,1466.35,1,-15.99,10.49,25.13,31.58,31.58,1,-0.151,9.364,-1.150,-0.279,-0.208,-0.134,-2.67,1.40
